temp_sbjID,HistoryL1Score,HistoryL2Score,HistoryL3Score,HistoryL4Score,UseL1Score,UseL2Score,UseL3Score,UseL4Score,ProficiencyL1Score,ProficiencyL2Score,ProficiencyL3Score,ProficiencyL4Score,AttitudeL1Score,AttitudeL2Score,AttitudeL3Score,AttitudeL4Score,L1Score,L2Score,L3Score,L4Score,lang_var,lang_ent,multi_exp,L1_L2_diff,RC1_L3,RC9_L4,RC2_use_L1vsL2,RC6_use_L4
1,47.67,10.442,0,0,44.690000000000005,9.81,0,0,54.480000000000004,40.86,0,0,24.97,34.05,0,0,171.81000000000003,95.162,0,0,6918.656716000002,0.939696368,266.97200000000004,76.64800000000002,-0.861792997,-0.299047666,-0.240366219,-0.090700503
2,42.676,9.988,0,0,39.24,15.260000000000002,0,0,54.480000000000004,49.94,0,0,54.480000000000004,36.32,0,0,190.87600000000003,111.50800000000001,0,0,8669.553525333336,0.9497174743325452,302.384,79.36800000000002,-1.1050772,-0.285615965,0.5538500902446074,-0.051607137
3,50.848,15.89,0,0,44.690000000000005,9.81,0,0,54.480000000000004,52.21,0,0,49.94,54.480000000000004,0,0,199.95800000000003,132.39,0,0,9965.505196000002,0.9699757416107819,332.348,67.56800000000004,-1.19320871,-0.225355865,-0.3083338,-0.065754158
4,42.222,19.976,9.534,6.8100000000000005,47.96,6.540000000000001,10.9,0,54.480000000000004,52.21,31.78,31.78,27.240000000000002,40.86,13.620000000000001,13.620000000000001,171.90200000000002,119.586,65.834,52.21000000000001,2993.997966666667,1.847033840338726,409.53200000000004,52.31600000000002,0.7448708038992337,1.1886070345420336,-1.17298344,-0.438732966
5,42.222,15.436,0,0,44.690000000000005,9.81,0,0,54.480000000000004,49.94,0,0,54.480000000000004,38.59,0,0,195.872,113.77600000000001,0,0,9113.449194666668,0.9486834709632457,309.648,82.096,-1.102526095,-0.238256097,-0.266657869,-0.051340618
6,42.222,28.148,0,0,45.78,8.72,0,0,54.480000000000004,52.21,0,0,54.480000000000004,34.05,0,0,196.96200000000005,123.128,0,0,9446.710601000004,0.9612714684382943,320.09000000000003,73.83400000000005,-1.063997986,-0.225526483,-0.592644593,-0.087273959
7,51.756,17.252,10.896,0,42.510000000000005,11.99,9.81,0,54.480000000000004,52.21,18.16,0,54.480000000000004,47.67,15.89,0,203.226,129.122,54.756,0,7836.380264,1.4155240907863869,387.10400000000004,74.103999999999985,0.43212226242947277,-0.677958384,0.11063820452671155,-0.024562737
8,44.492000000000004,17.252,5.448,0,44.690000000000005,9.81,10.9,0,52.21,47.67,18.16,0,54.480000000000004,34.05,4.54,0,195.872,108.782,39.047999999999995,0,7397.114670333334,1.3441130913342116,343.702,87.09000000000002,0.6329622547078361,-0.57007265,-0.259224123,-0.050192976
9,54.480000000000004,16.798000000000002,0,0,54.50000000000001,0,0,0,54.480000000000004,43.13,0,0,54.480000000000004,0,0,0,217.94000000000005,59.928000000000004,0,0,10595.517476000005,0.7521832582230483,277.86800000000005,158.01200000000006,-1.053817064,-0.070623074,-0.885222115,-0.011945936
10,51.756,15.89,0,0,43.6,10.9,0,0,54.480000000000004,52.21,0,0,54.480000000000004,38.59,0,0,204.31600000000003,117.59,0,0,9888.855915666669,0.9469892276034111,321.90600000000006,86.72600000000003,-1.187016864,-0.211559947,0.038194928846129336,-0.054710671
11,50.848,16.798000000000002,2.724,0,45.78,7.630000000000001,11.99,0,54.480000000000004,52.21,38.59,0,52.21,49.94,40.86,0,203.318,126.578,94.164,0,7090.112401333334,1.511200238445006,424.06,76.74000000000001,1.5922081224367755,-0.957960028,-0.361708619,0.001544757
12,45.4,14.982000000000001,4.994,0,42.510000000000005,11.99,10.9,0,54.480000000000004,47.67,0,0,45.4,47.67,0,0,187.79,122.312,15.894,0,7969.860225333333,1.2015059868151718,325.996,65.478,0.1650583841459124,-0.517798284,-0.04616191,-0.098469718
13,44.946,16.344,0,0,42.510000000000005,11.99,0,0,54.480000000000004,47.67,0,0,54.480000000000004,54.480000000000004,0,0,196.416,130.484,0,0,9629.805604,0.9704545705960179,326.9,65.93199999999999,-1.132140397,-0.228696749,-0.045156999,-0.080297014
14,54.480000000000004,19.522000000000002,4.54,4.994,44.690000000000005,9.81,10.9,0,54.480000000000004,54.480000000000004,22.7,2.27,54.480000000000004,49.94,15.89,2.27,208.13000000000005,133.752,54.03,9.533999999999999,7707.072577000004,1.5363478789637908,405.446,74.37800000000004,0.671264105,-0.56355603,-0.183319399,-0.161193055
15,44.492000000000004,14.982000000000001,1.816,0,43.6,9.81,11.99,0,54.480000000000004,54.480000000000004,24.97,0,54.480000000000004,47.67,18.16,0,197.05200000000002,126.94200000000001,56.93599999999999,0,7302.851313000002,1.4300783846422807,380.93,70.11000000000001,1.0280639242007046,-0.779685917,-0.214927252,-0.036155813
16,44.038000000000004,13.166,0,0,45.78,8.72,0,0,54.480000000000004,52.21,0,0,38.59,43.13,0,0,182.888,117.226,0,0,8224.284123666666,0.9651888046771586,300.11400000000003,65.662,-1.049984829,-0.301882065,-0.579394449,-0.0560326
17,46.308,12.712,0,0,52.32000000000001,2.18,0,0,43.13,43.13,0,0,45.4,20.43,0,0,187.15800000000002,78.452,0,0,7848.555081000001,0.8755515796915634,265.61,108.70600000000002,-0.981169182,-1.54E-04,-1.552198998,0.013215429128257898
18,44.038000000000004,17.706,0,0,46.870000000000005,7.630000000000001,0,0,54.480000000000004,49.94,0,0,40.86,22.7,0,0,186.24800000000005,97.976,0,0,8030.597845333337,0.9292584303486612,284.22400000000005,88.27200000000005,-0.977454478,-0.268626651,-0.560149878,-0.058808578
19,44.946,12.258000000000001,5.902,0,18.53,35.970000000000006,4.36,0,47.67,49.94,9.08,0,54.480000000000004,47.67,2.27,0,165.626,145.83800000000002,21.612,0,7144.289073333334,1.2789323822120755,333.0760000000001,19.787999999999982,-0.390713906,-0.515863082,2.826826287318456,-0.11221403
20,52.21,14.074,0,0,38.150000000000006,16.35,0,0,52.21,43.13,0,0,47.67,47.67,0,0,190.24,121.224,0,0,8878.019984,0.9642859551356718,311.464,69.016,-1.071318009,-0.204091229,0.639770218,-0.099119995
21,53.118,9.534,4.086,0,35.970000000000006,18.53,10.9,0,54.480000000000004,45.4,13.620000000000001,0,47.67,36.32,2.27,0,191.238,109.78399999999999,30.876,0,7346.252025,1.3049644386123536,331.89799999999997,81.45400000000001,0.5097023245544599,-0.610770171,1.2197933441546736,-0.094239984
22,44.492000000000004,19.522000000000002,9.988,0,39.24,15.260000000000002,9.81,0,54.480000000000004,54.480000000000004,29.51,0,40.86,40.86,15.89,0,179.072,130.122,65.19800000000001,0,6068.984285333334,1.4779587403332433,374.39200000000005,48.94999999999999,0.882158998,-0.868967889,0.24019122443667532,-0.04895585
23,45.854,13.166,6.8100000000000005,0.908,42.510000000000005,10.9,8.72,1.09,54.480000000000004,47.67,15.89,6.8100000000000005,54.480000000000004,54.480000000000004,9.08,29.51,197.324,126.21600000000001,40.5,38.318,5834.256238333334,1.6852754156954828,402.358,71.108,-0.102278405,1.6496610329281363,-0.156888102,0.17176127652109202
24,53.118,17.252,0,0,49.050000000000004,5.45,0,0,52.21,47.67,0,0,45.4,43.13,0,0,199.77800000000002,113.50200000000001,0,0,9419.287896000002,0.9445775229354685,313.28000000000003,86.27600000000001,-1.112540817,-0.142793914,-0.853998323,-0.055309195
25,50.848,9.534,24.516000000000002,18.16,45.78,6.540000000000001,8.72,0,54.480000000000004,54.480000000000004,31.78,20.43,54.480000000000004,54.480000000000004,54.480000000000004,11.35,205.58800000000002,125.034,119.49600000000001,49.940000000000005,4052.9078916666676,1.8526662024133476,500.05800000000005,80.55400000000002,0.5039129884901667,0.1157422456144549,-0.514949593,-0.361854668
26,45.4,44.492000000000004,16.798000000000002,0,46.870000000000005,1.09,16.35,0,52.21,31.78,47.67,0,49.94,27.240000000000002,27.240000000000002,0,194.42000000000002,104.602,108.05800000000002,0,6329.571522666668,1.5208552252748881,407.08000000000004,89.81800000000001,2.3685066302602165,-0.911609178,-1.159719734,-0.099829593
27,36.32,13.620000000000001,1.362,0,47.96,5.45,11.99,0,54.480000000000004,47.67,4.54,0,54.480000000000004,45.4,27.240000000000002,0,193.24,112.14000000000001,45.132000000000005,0,7079.769696,1.3804073356956335,350.512,81.1,0.7550742499149378,-0.68804783,-0.824233065,-0.025123063
28,48.578,17.706,9.08,1.362,41.42,10.9,10.9,2.18,54.480000000000004,54.480000000000004,40.86,13.620000000000001,54.480000000000004,54.480000000000004,24.97,45.4,198.95800000000003,137.56600000000003,85.81,62.562,3668.339120000002,1.8662909068575346,484.8960000000001,61.391999999999996,0.6163732300943423,2.6325403783829695,-0.234014395,0.5386722775125519
29,43.13,9.988,1.362,3.632,43.6,6.540000000000001,14.170000000000002,1.09,54.480000000000004,52.21,29.51,24.97,54.480000000000004,40.86,27.240000000000002,18.16,195.69,109.598,72.28200000000001,47.852000000000004,4191.609870333333,1.8084713204410279,425.422,86.092,1.122221616463056,1.2270286287926075,-0.418665682,0.15415664364579862
30,51.302,16.344,0,0,51.230000000000004,3.2700000000000005,0,0,54.480000000000004,45.4,0,0,54.480000000000004,20.43,0,0,211.49200000000002,85.44399999999999,0,0,9995.598725333335,0.8657999421263496,296.93600000000004,126.04800000000003,-1.096140369,-0.121535473,-0.72464893,-0.030123862
31,47.216,16.798000000000002,9.08,4.994,33.79,20.71,10.9,0,54.480000000000004,45.4,47.67,40.86,54.480000000000004,40.86,40.86,40.86,189.966,123.768,108.51,86.714,1979.9251450000004,1.9371261331647074,508.958,66.19800000000001,0.9561863354461275,3.285930858161153,1.1630206982133877,-0.64651815
32,41.314,15.89,0,0,44.690000000000005,9.81,0,0,54.480000000000004,49.94,0,0,54.480000000000004,38.59,0,0,194.964,114.23,0,0,9053.073929,0.950244553,309.194,80.734,-1.094147217,-0.242057031,-0.292610476,-0.052828198
33,51.302,15.436,4.54,0,54.50000000000001,0,10.9,0,54.480000000000004,38.59,11.35,0,54.480000000000004,29.51,18.16,0,214.762,83.536,44.95,0,8555.561688,1.3035263455994224,343.248,131.226,0.6450410951806756,-0.495474715,-1.072569035,-0.018044356
